"","Entidad","distrito","Clave Federal","Porcentaje Población Estatal","Porcentaje Población 60+","Densidad de Población (km²)","Estimador Viviendas Particulares","Población Autoadscrita Indígena","Población Aut. Afrodescendiente","Índice Étnico","Aprox. Distancia Mínima","ANP Cercana"
"75",11,5,1105,0.06471573338,0.08508942124,3548.738126,90426,0.06933016564,0.00080248136,0.130539389980771,0.688186466921036,181
"76",11,6,1106,0.07121335871,0.07254234035,905.5311753,102351,0.08504294008,0.00058292952,0.156687308190968,0.56690467152744,181
"77",11,7,1107,0.06617635377,0.1012791223,125.8486213,95054,0.1305608261,0.00036398838,0.227662060113922,0.513341324094086,60
"78",11,8,1108,0.07105055506,0.1017342819,316.6543847,104784,0.1181634356,0.00038951015,0.209088341323045,0.423005973337098,24
"79",11,9,1109,0.06787614007,0.07984395646,374.5283712,93763,0.03224060907,0.00027936828,0.0629428708533151,0.632440113920487,24
"80",11,10,1110,0.06594248367,0.1365160127,193.1035574,102107,0.0799754408,0.00014507547,0.147425643234582,0.385294027869829,49
"81",11,11,1111,0.06948555583,0.06607809296,1187.541064,98865,0.1148702138,0.00023847807,0.20377214990573,0.694957154455865,181
"82",11,12,1112,0.07212850999,0.0929569392,1491.481686,113977,0.0990959625,0.00085027367,0.180082489466335,0.24749476776394,24
"83",11,13,1113,0.06740583739,0.116756891,158.4293181,96734,0.0633851363,5.829101e-05,0.118844107249549,0.630318234693038,60
"84",11,14,1114,0.06492261189,0.1217726742,119.6936517,97542,0.1047558652,0.00015261712,0.187837360391529,0.244163934593393,36
"85",11,15,1115,0.0624248656,0.09907091937,1211.541778,85994,0.05373068976,0.00013683073,0.101946325471525,0.606861915440644,24
"86",12,1,1201,0.100680931,0.1388633546,22.27107549,90558,0.06927987721,0.00488009198,0.137996720665772,0.669441370724908,149
"87",12,2,1202,0.1113040087,0.1300039414,69.79338518,106530,0.2551460211,0.02744968406,0.419478100506967,0.207130508820049,90
"88",12,3,1203,0.121033575,0.116274828,29.88447101,119232,0.1929020068,0.04209595877,0.375788633345728,0.270694150914336,149
"89",12,4,1204,0.1159801554,0.1340672105,1513.815546,115592,0.1847105936,0.1038539534,0.448955949189811,0.0364425036281734,169
"90",12,5,1205,0.1061900216,0.09164543332,49.35584817,81790,0.8544547383,0.07319374407,0.25931503392233,0.411161588813719,45
"91",12,6,1206,0.1169076298,0.09337293979,64.17105903,94993,0.7252580714,0.03666017857,0.415973841479021,0.0676820764304832,45
"92",12,7,1207,0.1098854851,0.08420797779,66.76131995,92270,0.2018220078,0.05278774407,0.400874709236274,0.438981206736093,45
"93",12,8,1208,0.1060618111,0.1045436472,60.9427574,91126,0.3439877463,0.1575986743,0.608418992124009,0.33024476614504,152
"94",12,9,1209,0.1119563824,0.09222640746,274.6039153,103066,0.221859595,0.08661930885,0.465073989020287,0.131489284223021,169
"95",13,1,1301,0.1438846555,0.1311704606,122.9467968,101266,0.8241440013,0.00024800984,0.289948437860891,0.330693638317899,137
"96",13,2,1302,0.1393747251,0.123112683,70.36109321,106147,0.6299917416,0.00048696857,0.466564184739784,0.116808523712852,66
"97",13,3,1303,0.1401213074,0.1138153936,88.3206819,105299,0.2778758455,0.00046439976,0.401991997209126,0.0639520988430561,137
"98",13,4,1304,0.1421633882,0.101522318,186.6549715,104225,0.2907834056,0.00053155623,0.413210245149626,0.13217607336934,112
"99",13,5,1305,0.1517118738,0.1049494174,176.4448139,114765,0.2232484025,0.00101465016,0.348391309797869,0.11166497009406,99
"100",13,6,1306,0.1515334498,0.09399566419,898.5815998,120487,0.1641189739,0.0013367595,0.276599042565118,0.152186019030727,125
"101",13,7,1307,0.1312106002,0.09450015598,175.6329137,105063,0.1273973662,0.00093321637,0.223961466909754,0.241051788395483,125
"102",14,1,1401,0.04776024465,0.1130912187,23.98991051,96438,0.1987290183,0.00024821777,0.3188692473394,0.502497676908953,15
"103",14,2,1402,0.046118399,0.09719423645,49.98268214,89300,0.1212633813,0.00040907596,0.213835752676863,0.620469826843712,12
"104",14,3,1403,0.05401085811,0.1119691484,57.05774249,111255,0.08428957815,0.0002006108,0.154737012641795,0.687884121541939,58
"105",14,4,1404,0.0496240199,0.08899232453,6926.400902,97630,0.07403953844,0.01405114927,0.162742118110563,0.140535761077929,58
