"","ï..CVE_FED","CVE_ENT","distrito","MI","Indigena","Complejidad","IND_002","IND_002_LI","IND_002_LS","IND_002_EE","IND_002_CV","IND_824","IND_824_LI","IND_824_LS","IND_824_EE","IND_824_CV","IND_047","IND_047_LI","IND_047_LS","IND_047_EE","IND_047_CV","IND_055","IND_055_LI","IND_055_LS","IND_055_EE","IND_055_CV","IND_141","IND_141_LI","IND_141_LS","IND_141_EE","IND_141_CV","IND_128","IND_128_LI","IND_128_LS","IND_128_EE","IND_128_CV","Ethnic","ANP_Cercana","dist_min","c_ANPCercana","c_distmin"
"44",807,8,7,"*","NO","Muy dispersos 2",10.33615496,9.914980403,10.77308089,0.260781142,2.522999535,12.24657452,11.74176699,12.76994482,0.312475734,2.551535803,7.587457373,7.332197908,7.842716839,0.155173913,2.045137193,111086,107738.707,114433.293,2034.841508,1.831771337,22.50192458,21.46417774,23.57478343,0.641543738,2.851061631,0.035091251,0.021729029,0.056665887,0.010223846,29.13502785,77.46298417,89,0,82,37232.3463938261
"45",808,8,8,"*","NO","Concentrados 1",12.42231991,11.3026489,13.63585667,0.708715831,5.705180968,9.333218653,8.518812648,10.21678727,0.515680112,5.525211946,204.4711181,184.6416164,224.3006199,12.05448489,5.895446262,130235,117770.156,142699.844,7577.460892,5.818298377,11.17270133,10.00869398,12.45334876,0.742304361,6.643911253,0.033951323,0.016520088,0.069762358,0.014866036,43.78632278,88.79334735,32,28807.31624,32,63855.3242829008
"46",809,8,9,"*","NO","Muy dispersos 2",9.326334838,8.983168756,9.68121581,0.212144046,2.274677568,11.37721662,11.03511531,11.72852531,0.210747853,1.852367415,6.116030913,5.953368953,6.278692872,0.098883278,1.616788391,89833,87567.82178,92098.17822,1377.016782,1.532862959,30.8391971,29.8933215,31.80142552,0.580028624,1.880816228,0.011456204,0.006614404,0.019841539,0.003825262,33.39031288,69.1493467,168,0,168,117474.880812596
"47",901,9,1,"","NO","Altamente concentrado 1",4.382892798,3.672246458,5.223604588,0.469454638,10.71106824,12.77120454,11.66990634,13.96000759,0.695536425,5.446130179,13219.8277,10840.873,15598.78241,1445.886571,10.9372573,105013,86311.1274,123714.8726,11366.66721,10.82405722,6.774197675,5.806513325,7.889643517,0.631278865,9.318872807,0.49476202,0.346897704,0.705207131,0.106681389,21.56216223,92.73104031,41,498.4865241,41,5409.90178498312
"48",902,9,2,"","NO","Altamente concentrado 1",4.293024967,3.699616657,4.976695484,0.386926489,9.01291029,18.07354785,16.95419419,19.2496735,0.697498106,3.859220737,11471.26127,9764.211469,13178.31107,1037.51466,9.044468915,115094,97645.21057,132542.7894,10605.06543,9.214264369,6.896416632,5.641123131,8.406159766,0.836340834,12.12717964,1.058556206,0.737314832,1.517619659,0.2322734,21.94247206,92.04502716,41,0,41,1833.40947437019
"49",903,9,3,"","NO","Altamente concentrado 1",4.486787411,4.180739515,4.814113699,0.192346939,4.286963501,17.0171506,16.03393135,18.04770277,0.611888264,3.595715163,11929.95287,11104.88311,12755.02263,501.4628012,4.203392977,119027,111061.3547,126992.6453,4841.378253,4.067462217,7.532718081,6.270131429,9.025065447,0.834064484,11.07255674,1.195268904,0.849293907,1.679795212,0.247789637,20.73086953,91.27201302,68,1925.531891,41,7372.02565543773
"50",904,9,4,"","NO","Altamente concentrado 1",4.138102469,3.552863458,4.814931218,0.382310401,9.238785259,10.72906252,9.95559214,11.55491405,0.485780129,4.527703405,19091.29127,16180.26295,22002.31958,1769.271493,9.267427059,98682,83866.8885,113497.1115,9004.362592,9.124625152,6.702378727,5.596069386,8.008844261,0.730414942,10.89784645,1.233664713,0.655485072,2.309977261,0.472623087,38.31049734,92.06395656,22,0,22,3077.29771279051
"51",905,9,5,"","NO","Concentrados 1",3.687911168,3.105078011,4.375204143,0.384381626,10.42274634,13.39324804,12.21550894,14.66556699,0.744131532,5.556019943,1134.480405,936.4514265,1332.509383,120.3585087,10.60913068,90135,75084.24247,105185.7575,9147.584077,10.14875917,12.14762611,10.59107425,13.89738354,1.003322993,8.259416146,1.990197986,1.616028809,2.448844502,0.251419345,12.6328811,85.8621759,42,0,33,6647.39034860398
"52",906,9,6,"","NO","Altamente concentrado 2",4.702840216,4.049471819,5.455633379,0.426050198,9.059423204,13.37672556,12.31013692,14.52042431,0.671377267,5.0189956,3773.493294,3197.331575,4349.655014,350.1808971,9.280019063,120968,100766.1223,141169.8777,12278.34378,10.15007587,10.29802351,8.816749147,11.99542331,0.963865692,9.359715401,2.342226355,1.785888541,3.066462731,0.384905499,16.43331774,87.35975014,34,0,65,4493.76479584168
"53",907,9,7,"","NO","Altamente concentrado 1",4.380728794,3.73143696,5.136972462,0.425645353,9.716313733,16.45448449,15.58859374,17.35858156,0.537818638,3.268523171,16030.1119,13439.96116,18620.26264,1574.247785,9.820566408,104480,87528.53346,121431.4665,10302.80138,9.861027355,6.038617668,4.806598004,7.561343097,0.831829805,13.77516926,0.832859827,0.58221685,1.190112346,0.180987776,21.73088084,93.12852251,41,1570.847059,41,5224.19290563333
